text,label
"If you loved me, you'd do this.",Emotional Blackmail
"If you leave me, I'll never forgive you.",Emotional Blackmail
"Do this or you'll regret it.",Emotional Blackmail
"If you cared about me, you'd agree.",Emotional Blackmail
"You'll be responsible if something happens to me.",Emotional Blackmail
"Don't expect me to be there for you if you refuse.",Emotional Blackmail
"If you say no, I'll be devastated.",Emotional Blackmail
"You have to choose between me and them.",Emotional Blackmail
"If you really cared, you wouldn't hesitate.",Emotional Blackmail
"I'll never talk to you again if you don't.",Emotional Blackmail
"Do it for me or don't bother calling.",Emotional Blackmail
"You'll break my heart if you refuse.",Emotional Blackmail
"If you walk away, you'll lose me forever.",Emotional Blackmail
"You owe me this.",Emotional Blackmail
"If you disappoint me, I'll remember it.",Emotional Blackmail
"Don't make me suffer because of your choice.",Emotional Blackmail
"I need this from you, no matter what.",Emotional Blackmail
"If you don't help, it's your fault.",Emotional Blackmail
"You'll feel guilty if you don't do it.",Emotional Blackmail
"If you care at all, prove it.",Emotional Blackmail
"If you care about me, you'll do this.",Emotional Blackmail
"If you refuse, don't expect me to understand.",Emotional Blackmail
"You'll regret saying no.",Emotional Blackmail
"If I mattered to you, you'd agree.",Emotional Blackmail
"I'll be heartbroken if you don't help me.",Emotional Blackmail
"If you don't do this, I'll remember it forever.",Emotional Blackmail
"You can't say no after everything that's happened.",Emotional Blackmail
"If you walk away now, we're done.",Emotional Blackmail
"Don't make me suffer because of your decision.",Emotional Blackmail
"If you loved me, you wouldn't hesitate.",Emotional Blackmail
"I'll never get over it if you refuse.",Emotional Blackmail
"You'll be responsible for what happens next.",Emotional Blackmail
"If you disappoint me, I'll never forget it.",Emotional Blackmail
"Prove that you care by doing this.",Emotional Blackmail
"If you don't help, you're abandoning me.",Emotional Blackmail
"You have no choice if you truly care.",Emotional Blackmail
"If you leave, you'll destroy everything.",Emotional Blackmail
"I'll be devastated if you don't agree.",Emotional Blackmail
"You owe this to me.",Emotional Blackmail
"If you don't do this, I'll know how much I mean to you.",Emotional Blackmail
"You'll hurt me deeply if you refuse.",Emotional Blackmail
"If you cared, this wouldn't even be a question.",Emotional Blackmail
"You need to choose me over everyone else.",Emotional Blackmail
"If you don't help, I'll have nobody.",Emotional Blackmail
"You'll feel terrible later if you don't.",Emotional Blackmail
"I need you to do this no matter what.",Emotional Blackmail
"If you walk away, I'll never forgive you.",Emotional Blackmail
"Don't let me down when I need you most.",Emotional Blackmail
"If you say no, you're proving you don't care.",Emotional Blackmail
"I'll never be the same if you refuse.",Emotional Blackmail
