text,label,label_encoded
You need to choose me over everyone else.,Emotional Blackmail,3
Nobody else thinks that happened.,Gaslighting,1
I don't know why I bother trying anymore.,Guilt Tripping,2
You should feel bad for treating me like this.,Guilt Tripping,2
"If you walk away, you'll lose me forever.",Emotional Blackmail,3
You are my dream come true.,Love Bombing,4
You are the most important person in my life.,Love Bombing,4
You're the best person I've ever known.,Love Bombing,4
You're confused.,Gaslighting,1
You'll be responsible if something happens to me.,Emotional Blackmail,3
How was your day?,Normal,0
What are your plans for the weekend?,Normal,0
The event starts at 5 PM.,Normal,0
Have you watched that movie yet?,Normal,0
You've hurt me deeply after all I've done.,Guilt Tripping,2
Can you help me with this assignment?,Normal,0
I need you in my life forever.,Love Bombing,4
You've got it completely wrong.,Gaslighting,1
I don't need anyone else when I have you.,Love Bombing,4
You're making a big deal out of nothing.,Gaslighting,1
Good luck with your interview.,Normal,0
You clearly don't remember correctly.,Gaslighting,1
"If you disappoint me, I'll remember it.",Emotional Blackmail,3
I always put you first.,Guilt Tripping,2
We're destined to be together.,Love Bombing,4
You've convinced yourself of things that aren't true.,Gaslighting,1
You make me feel unimportant.,Guilt Tripping,2
That's all in your head.,Gaslighting,1
I never implied that.,Gaslighting,1
"If you care about me, you'll do this.",Emotional Blackmail,3
Let's meet tomorrow.,Normal,0
I don't know why you keep imagining these things.,Gaslighting,1
"If you cared, this wouldn't even be a question.",Emotional Blackmail,3
Hope you have a great day.,Normal,0
Nobody else sees it that way.,Gaslighting,1
You'll break my heart if you refuse.,Emotional Blackmail,3
"That was just a joke, you're imagining offense.",Gaslighting,1
Every moment with you feels magical.,Love Bombing,4
I can't imagine a future without you.,Love Bombing,4
You're the best thing that's ever happened to me.,Love Bombing,4
You'll feel guilty if you don't do it.,Emotional Blackmail,3
I've always put your happiness first.,Guilt Tripping,2
"If you really cared, you wouldn't hesitate.",Emotional Blackmail,3
I feel empty whenever you're not around.,Love Bombing,4
What are you doing this weekend?,Normal,0
You're acting crazy right now.,Gaslighting,1
"If you walk away, I'll never forgive you.",Emotional Blackmail,3
I guess my feelings don't matter.,Guilt Tripping,2
You're the only person who truly gets me.,Love Bombing,4
I think you're mixing things up again.,Gaslighting,1
"If you disappoint me, I'll never forget it.",Emotional Blackmail,3
I'll be there in ten minutes.,Normal,0
I'll check and get back to you.,Normal,0
